epoch,loss_avg,loss_test,acc_test,best_acc
0.0,2.3022853632768006,2.3015289909362795,10.32,10.32
1.0,2.300771645228068,2.2994119316101074,22.94,22.94
2.0,2.2974090506235765,2.293775480270386,36.61,36.61
3.0,2.2763969248533242,2.2300957889556883,25.95,36.61
4.0,2.1559878295660027,2.050328620147705,38.15,38.15
5.0,2.0210327480236687,1.9307295717239379,51.52,51.52
6.0,1.9194964328606927,1.7796484237670898,73.33,73.33
7.0,1.8287998983462657,1.7138988243103028,73.76,73.76
8.0,1.7708612914880115,1.6396714361190796,83.5,83.5
9.0,1.726730986436208,1.6005478139877318,86.87,86.87
10.0,1.6907486366033553,1.5843387062072753,88.02,88.02
11.0,1.664680409789085,1.5739731716156007,88.92,88.92
12.0,1.652358243107796,1.5660392177581788,89.69,89.69
13.0,1.6312495135863623,1.557365267944336,90.54,90.54
14.0,1.6193729290962218,1.5545110313415527,90.78,90.78
15.0,1.6183269147078192,1.546798893737793,91.61,91.61
16.0,1.610989997943242,1.5448529438018799,91.82,91.82
17.0,1.6060677511294688,1.541400387954712,92.19,92.19
18.0,1.5936976600885386,1.538696262741089,92.45,92.45
19.0,1.591151974638303,1.5370044216156007,92.53,92.53
20.0,1.5889909196694694,1.5353630805969238,92.59,92.59
21.0,1.5813272161086405,1.5322617900848388,92.97,92.97
22.0,1.5774675597747163,1.5324970401763915,92.82,92.97
23.0,1.573488748868306,1.5300244789123536,93.18,93.18
24.0,1.5707556333144503,1.5266321269989014,93.46,93.46
25.0,1.5678725171883905,1.525019394683838,93.6,93.6
26.0,1.5682244358857473,1.5233743438720704,93.89,93.89
27.0,1.5651844702959057,1.5239332698822021,93.7,93.89
28.0,1.564051463882129,1.5211472358703613,94.05,94.05
29.0,1.5628664306402207,1.52006183052063,94.13,94.13
30.0,1.5606368578275047,1.5182338291168214,94.31,94.31
31.0,1.5506293537219369,1.5177730751037597,94.41,94.41
32.0,1.5588564538955685,1.5170453254699707,94.44,94.44
33.0,1.555282946626345,1.5159945945739746,94.53,94.53
34.0,1.5504043515125907,1.515145803833008,94.64,94.64
35.0,1.5453647673924757,1.5154640991210937,94.54,94.64
36.0,1.5436499459346131,1.5135754886627197,94.77,94.77
37.0,1.5488204034169513,1.513091191482544,94.9,94.9
38.0,1.547364096601804,1.5118742519378663,94.95,94.95
39.0,1.5466208608547845,1.511230383682251,95.09,95.09
40.0,1.5377468466758728,1.5111957691192628,95.07,95.09
41.0,1.5403599247535076,1.5099868686676026,95.2,95.2
42.0,1.5390419638951618,1.5102804805755614,95.17,95.2
43.0,1.5415700935920083,1.5089452869415283,95.26,95.26
44.0,1.5347731740474702,1.508367632675171,95.27,95.27
45.0,1.5387704892555871,1.5076204570770264,95.36,95.36
46.0,1.5329613987604773,1.5069965900421143,95.49,95.49
47.0,1.5314448403914767,1.5070270458221435,95.46,95.49
48.0,1.5336729389429093,1.506369686126709,95.55,95.55
49.0,1.5320040098428727,1.5064920612335204,95.49,95.55
50.0,1.537339662432671,1.5062549243927001,95.51,95.55
51.0,1.5319948949813846,1.5053223400115967,95.64,95.64
52.0,1.5274592911402383,1.5047927616119385,95.7,95.7
53.0,1.5256818501551948,1.5047264602661132,95.69,95.7
54.0,1.5243467083374656,1.5049357894897462,95.67,95.7
55.0,1.5263305721282958,1.5054558532714843,95.6,95.7
56.0,1.5275124076604845,1.5043574352264404,95.69,95.7
57.0,1.528664377808571,1.5036691398620605,95.79,95.79
58.0,1.5265498421589532,1.5040547374725342,95.77,95.79
59.0,1.5214312196175257,1.502281879043579,95.89,95.89
60.0,1.5175141347646715,1.5029843643188476,95.75,95.89
61.0,1.5198734575907382,1.5023796211242675,95.85,95.89
62.0,1.521404639840126,1.501543440246582,96.02,96.02
63.0,1.527204472263654,1.5010641834259033,96.03,96.03
64.0,1.5197899748881654,1.500898010635376,96.04,96.04
65.0,1.5193174335956579,1.5000863819122314,96.14,96.14
66.0,1.5159822778701784,1.5005849670410156,96.09,96.14
67.0,1.5208915609121316,1.5000099182128905,96.18,96.18
68.0,1.520765103816986,1.4992035419464111,96.2,96.2
69.0,1.5170947976509732,1.5002656898498534,96.09,96.2
70.0,1.5171054828564325,1.4999477020263672,96.06,96.2
71.0,1.5188523685137432,1.4986468284606933,96.25,96.25
72.0,1.5138143312533692,1.4985557109832763,96.27,96.27
73.0,1.5154343520005547,1.4981673137664795,96.23,96.27
74.0,1.5170931569337847,1.497930456161499,96.35,96.35
75.0,1.5155713516076406,1.4967809703826904,96.43,96.43
76.0,1.5129724193016685,1.4981489078521728,96.29,96.43
77.0,1.5157134315570193,1.4969280570983887,96.39,96.43
78.0,1.51684975151221,1.4968073318481445,96.4,96.43
79.0,1.5091292074521385,1.4970870544433594,96.36,96.43
80.0,1.5153998360633851,1.4959713108062744,96.55,96.55
81.0,1.508776039004326,1.4958156452178955,96.58,96.58
82.0,1.5114151841004684,1.4968350605010987,96.42,96.58
83.0,1.5127697166999183,1.4967035228729249,96.4,96.58
84.0,1.5013233056863151,1.4952835742950439,96.57,96.58
85.0,1.5124825174411136,1.4968007034301758,96.39,96.58
86.0,1.5039974408944443,1.4961110622406006,96.45,96.58
87.0,1.5055285195906958,1.4959054279327393,96.56,96.58
88.0,1.5020962977011996,1.4954215644836426,96.55,96.58
89.0,1.5059324753681815,1.4948306324005127,96.64,96.64
90.0,1.507031139016152,1.4953407081604004,96.51,96.64
91.0,1.5021058194239936,1.494482283782959,96.65,96.65
92.0,1.5041820556720094,1.4939816520690918,96.72,96.72
93.0,1.5020532958904902,1.4940801410675049,96.67,96.72
94.0,1.5107451225519177,1.4943934860229493,96.69,96.72
95.0,1.5036046129465104,1.4945581867218019,96.7,96.72
96.0,1.5043489923477171,1.4947511348724365,96.61,96.72
97.0,1.5056353711684545,1.493827759552002,96.71,96.72
98.0,1.5029231696128849,1.4936730995178222,96.63,96.72
99.0,1.4998658511241283,1.492958861541748,96.78,96.78
100.0,1.499259456555048,1.492949580001831,96.78,96.78
101.0,1.501401817560196,1.4930204021453857,96.77,96.78
102.0,1.5037899556954701,1.492764595413208,96.82,96.82
103.0,1.503980134963989,1.4932768127441407,96.81,96.82
104.0,1.5026107458670939,1.4931626266479492,96.81,96.82
105.0,1.502302768230438,1.492836840057373,96.84,96.84
106.0,1.499306875109673,1.4925455574035644,96.87,96.87
107.0,1.4998588485717779,1.4920967624664307,96.92,96.92
108.0,1.500082036654154,1.4922617851257325,96.86,96.92
109.0,1.5005982726415,1.491917091369629,96.93,96.93
110.0,1.500633408983549,1.4920517211914062,96.91,96.93
111.0,1.499987917979558,1.4917075351715088,96.95,96.95
112.0,1.4982410262425738,1.491475494003296,96.93,96.95
113.0,1.4943082102139789,1.491338482284546,96.97,96.97
114.0,1.498676968852679,1.491691693878174,96.92,96.97
115.0,1.4993203169902165,1.4912978462219237,96.96,96.97
116.0,1.496553059577942,1.4916180168151856,96.91,96.97
117.0,1.5008179952303566,1.490858449935913,96.98,96.98
118.0,1.4970315495332085,1.4907138648986817,97.01,97.01
119.0,1.4942028773625693,1.491329630279541,96.95,97.01
