epoch,loss_avg,loss_test,acc_test,best_acc
0.0,2.3022925870418547,2.3015725563049316,17.71,17.71
1.0,2.300759647051494,2.2995946578979494,17.77,17.77
2.0,2.2978760329882313,2.2948225799560547,26.52,26.52
3.0,2.2844776267210634,2.2557897480010984,25.36,26.52
4.0,2.1543361589908594,2.0353778215408327,41.39,41.39
5.0,2.002098790844281,1.9029697393417357,56.38,56.38
6.0,1.896089777509371,1.7951957513809205,65.81,65.81
7.0,1.8382646153370543,1.7297530223846436,73.86,73.86
8.0,1.8020890398025509,1.6981149543762206,76.65,76.65
9.0,1.766471506635348,1.6622695138931274,80.1,80.1
10.0,1.7347503406604132,1.6396757772445678,82.27,82.27
11.0,1.7084647687276209,1.6302155654907227,83.08,83.08
12.0,1.6886040895779926,1.6264424953460694,83.41,83.41
13.0,1.6771185356378562,1.6195265796661378,84.03,84.03
14.0,1.6722769902149834,1.6175252586364746,84.24,84.24
15.0,1.6637649796803788,1.6138525032043458,84.63,84.63
16.0,1.6625871763626732,1.6117718475341798,84.79,84.79
17.0,1.6516882972717288,1.6097633094787598,84.96,84.96
18.0,1.6507437409559884,1.606595531463623,85.11,85.11
19.0,1.6382410852511722,1.5901914344787598,87.14,87.14
20.0,1.6242882887919747,1.5691688716888428,89.45,89.45
21.0,1.6177608460187909,1.5594166004180907,90.44,90.44
22.0,1.6059728066921233,1.5457343070983887,91.64,91.64
23.0,1.5978723838329318,1.5409830490112304,92.06,92.06
24.0,1.5970987648963928,1.5369433311462402,92.5,92.5
25.0,1.5895193158388137,1.5336783737182618,92.86,92.86
26.0,1.5808013241688412,1.533144903564453,92.9,92.9
27.0,1.576590716481209,1.5288287006378174,93.27,93.27
28.0,1.572009977499644,1.5271189155578613,93.44,93.44
29.0,1.5735509043534603,1.5265375659942626,93.48,93.48
30.0,1.5716895924011869,1.5235969066619872,93.83,93.83
31.0,1.567568484187126,1.5227929096221924,93.99,93.99
32.0,1.5605869927406306,1.5217599880218506,93.97,93.99
33.0,1.5584797006845477,1.5191852264404297,94.31,94.31
34.0,1.5572348099152251,1.5193042461395263,94.26,94.31
35.0,1.5591679954926176,1.5171489074707032,94.52,94.52
36.0,1.5533570520083109,1.5177774475097656,94.36,94.52
37.0,1.553435128410657,1.51562469329834,94.6,94.6
38.0,1.551425824602445,1.5144300842285157,94.73,94.73
39.0,1.546626502315203,1.5143408008575439,94.71,94.73
40.0,1.54486200261116,1.5123940368652344,94.91,94.91
41.0,1.5472982991139097,1.5117011501312256,95.03,95.03
42.0,1.5418384459018708,1.5109229175567627,95.07,95.07
43.0,1.539469367424647,1.5113594284057617,95.0,95.07
44.0,1.5404927356243132,1.509989757156372,95.11,95.11
45.0,1.541202966094017,1.5091938941955567,95.18,95.18
46.0,1.5376565950711574,1.5091625690460204,95.2,95.2
47.0,1.5296200104554496,1.5087239849090577,95.24,95.24
48.0,1.535367969314257,1.5080365921020509,95.29,95.29
49.0,1.5370209892988205,1.50598215675354,95.56,95.56
50.0,1.533280339042346,1.507664489364624,95.38,95.56
